,ICD_CODE,SNOMED_CID
1919,250.13,420270002
5364,250.81,420868002
5365,250.81,190368000
5366,250.81,691000119103
5367,250.81,426907004
5368,250.81,237618001
5369,250.81,1571000119104
5370,250.81,10656231000119100
5371,250.81,87491000119107
5372,250.81,110141000119100
5373,250.81,120711000119108
5374,250.81,72041000119103
5375,250.81,72141000119104
5376,250.81,72021000119109
5377,250.81,164881000119109
5378,250.81,87481000119109
5379,250.81,72031000119107
5380,250.81,87471000119106
5381,250.81,368551000119104
5382,250.81,84371000119108
7115,250.63,421468001
11250,250.83,420868002
13349,250.71,421365002
13431,250.71,420825003
14753,250.43,421893009
19726,250.73,421365002
21761,250.93,420868002
28876,250.31,314771006
28877,250.31,421075007
28884,250.31,420662003
